lAT, LON, type, SPs (30), SPs (60), SPs (100), SPs (150)
47.0667054, 15.4676957,0,16,22,29,38
47.069363, 15.459103,0,13,17,23,31
47.0668096, 15.4700014,0,14,18,24,32
47.0698591, 15.489267,0,14,19,26,34
47.0692879, 15.485999,0,14,19,25,33
47.0198097, 15.471827,1,14,18,25,33
47.019154, 15.4613147,2,10,14,19,25
47.0305085, 15.4558179,0,17,23,31,41
47.0362598, 15.4517627,2,17,23,31,41
47.019262, 15.4609915,0,12,17,23,30
47.043226, 15.446879,1,11,15,20,26
47.0238097, 15.4583807,0,16,21,28,38
47.0280014, 15.4551079,0,13,18,24,31
47.0222668, 15.4695706,0,15,20,27,35
47.0241296, 15.4581711,1,14,18,25,33
47.0348593, 15.4536697,0,16,22,29,39
47.0208275, 15.4657341,2,16,22,29,39
47.0229551, 15.4692932,0,13,17,23,30
47.0466465, 15.3892658,0,11,15,20,26
47.0501041, 15.3947413,2,11,14,19,25
47.0502898, 15.3909173,0,16,22,29,38
47.0481666, 15.3877316,3,12,16,21,28
47.04672, 15.4070838,0,13,18,24,32
47.0466918, 15.3956148,0,13,18,24,31
47.0467092, 15.3990421,0,14,19,26,34
47.0467167, 15.4017524,3,10,13,18,23
47.0507294, 15.3957665,3,15,20,27,36
47.0536431, 15.415156,0,16,21,28,38
47.0510272, 15.4125495,2,15,20,27,35
47.0667445, 15.4271043,0,14,18,25,33
47.0662019, 15.4266509,0,15,20,27,35
47.0664131, 15.4263282,0,15,21,28,37
47.0634936, 15.4031893,1,8,10,14,18
47.0597421, 15.40026,0,19,26,35,46
47.0597521, 15.4032615,1,15,21,28,37
47.0703363, 15.4019203,0,13,17,23,31
47.0509438, 15.3947643,0,14,18,24,32
47.0601027, 15.4032707,0,16,21,28,37
47.0708335, 15.4020904,0,14,19,26,34
47.049203, 15.4289939,1,9,13,17,23
47.0493117, 15.4288567,0,20,26,35,47
47.0681904, 15.4203193,0,14,19,26,34
47.0454159, 15.4298428,0,17,23,31,40
47.0606605, 15.425226,0,13,17,23,30
47.025534, 15.4008301,0,18,25,33,43
47.0252134, 15.400777,0,15,20,27,36
47.0234723, 15.4004079,0,16,22,29,38
47.0228052, 15.4003059,2,12,16,22,28
47.0187968, 15.399268,1,18,24,32,42
47.0175835, 15.3987415,0,16,22,29,39
47.0349028, 15.4095395,1,18,24,32,42
47.02782, 15.4012713,1,13,17,23,31
47.0404076, 15.4137774,0,13,18,24,32
47.0402852, 15.4129155,0,20,27,36,48
47.043729, 15.4143035,0,12,16,21,28
47.0469198, 15.4151979,0,14,19,26,34
47.0472353, 15.415275,0,17,23,31,41
47.050499, 15.4158949,0,15,20,27,35
47.0511477, 15.4160049,2,16,21,29,38
47.0431747, 15.4141421,0,14,18,24,32
47.0410832, 15.413335,0,15,21,28,37
47.0551586, 15.413206,1,11,15,20,27
47.0553405, 15.4136208,0,19,25,34,44
47.0540401, 15.4095494,2,14,19,26,34
47.0520868, 15.4031063,0,13,17,23,31
47.0508298, 15.3979326,0,16,22,29,38
47.0429346, 15.3956848,2,13,18,24,32
47.0375046, 15.3970323,0,11,15,20,27
47.0374625, 15.3970528,2,11,15,20,27
47.0351484, 15.398714,0,16,22,29,39
47.0838396, 15.4442302,3,14,19,25,34
47.0832673, 15.4414584,1,14,19,26,34
47.0812285, 15.4426935,0,17,23,31,41
47.0853678, 15.4427014,0,12,16,21,28
47.0329642, 15.3993945,0,13,17,23,30
47.097501, 15.3995602,0,14,18,24,32
47.104001, 15.401632,1,15,20,27,35
47.096894, 15.4040199,0,14,19,26,34
47.0965256, 15.404298,0,14,19,25,33
47.0959398, 15.4039673,0,14,19,26,34
47.0960441, 15.4031295,0,14,19,26,34
47.0826874, 15.4156669,3,13,17,23,30
47.0889183, 15.4105598,2,12,17,23,30
47.0938534, 15.4058428,0,15,20,27,36
47.0937788, 15.4057328,0,12,17,22,29
47.0880976, 15.411295,0,12,16,21,28
47.0763628, 15.4293628,0,14,18,25,33
47.0798773, 15.4245358,0,14,19,25,34
47.0800882, 15.4241091,0,20,27,36,48
47.0789439, 15.4270695,0,13,17,23,30
47.0819468, 15.4213243,0,17,23,30,40
47.081423, 15.4217,2,16,22,29,39
47.0841675, 15.416788,3,12,16,21,28
47.0759735, 15.4291046,0,16,22,30,39
47.0758942, 15.4288068,0,12,16,21,28
47.075722, 15.4299647,3,8,11,14,19
47.0762574, 15.4292306,0,16,22,29,38
47.0710754, 15.4284665,3,10,14,18,24
47.0714585, 15.4288078,0,16,21,28,37
47.0717203, 15.4288217,0,13,17,23,31
47.0997092, 15.4168854,0,19,25,34,44
47.1010094, 15.4273516,0,17,23,31,41
47.1009068, 15.4281293,3,13,18,24,32
47.100872, 15.4309683,0,13,17,23,30
47.0765861, 15.4192882,0,11,15,21,27
47.0760906, 15.4173887,0,13,18,24,32
47.0747101, 15.4228659,0,14,19,25,33
47.0745616, 15.4241744,2,14,18,25,32
47.0741955, 15.4229158,0,15,20,27,35
47.0778294, 15.4349541,1,16,21,29,38
47.0775563, 15.4343089,0,15,21,28,37
47.0894521, 15.4598259,0,13,17,23,30
47.0874258, 15.4578723,2,11,15,20,26
47.0805381, 15.451056,0,18,24,32,42
47.0818758, 15.4544045,0,13,17,23,30
47.0845155, 15.4565505,2,13,17,23,31
47.0604801, 15.4688464,0,13,18,24,31
47.0616199, 15.4672764,2,10,13,18,24
47.0738432, 15.4549543,0,13,18,24,32
47.0600338, 15.4691662,0,13,18,24,32
47.056897, 15.4719256,0,16,22,29,38
47.0595025, 15.4679699,0,16,22,29,39
47.0595329, 15.467618,0,15,20,26,35
47.0733085, 15.4539164,0,17,23,30,40
47.0740066, 15.4536148,0,15,21,28,36
47.0580858, 15.4655252,0,14,19,26,34
47.0707812, 15.4579231,2,15,20,27,35
47.058375, 15.4705489,3,14,19,25,33
47.0332748, 15.4430107,1,14,18,24,32
47.060567, 15.3923786,0,14,19,25,33
47.0595806, 15.3922565,0,12,16,21,28
47.0283, 15.4331539,0,15,20,27,36
47.0376385, 15.4161274,0,12,16,22,29
47.0422954, 15.4679645,0,17,22,30,39
47.0402277, 15.4084066,1,14,19,25,33
47.0602143, 15.4642721,0,15,20,26,35
47.0696457, 15.4321056,0,16,21,28,37
47.0965141, 15.4069365,0,16,22,29,38
47.0975081, 15.4086922,2,11,14,19,25
47.0933106, 15.4135845,2,14,19,25,33
47.0882029, 15.417985,0,17,22,30,40
47.0881213, 15.4180868,2,10,14,19,25
47.037665, 15.4617688,0,15,21,28,37
47.0366381, 15.4623534,0,9,12,16,21
47.0325497, 15.4643697,0,12,16,22,29
47.0567449, 15.4622697,1,15,20,26,35
47.0540706, 15.4486841,1,10,14,19,25
47.0587759, 15.4865294,3,12,16,22,29
47.0585326, 15.4896106,1,11,15,20,26
47.0593988, 15.4848511,0,19,25,33,44
47.0586388, 15.4806618,2,15,20,27,35
47.058849, 15.4834217,0,16,21,29,38
47.0591879, 15.4927982,0,14,19,25,33
47.0712394, 15.4344525,0,14,18,25,32
47.0712495, 15.4244228,0,10,14,19,25
47.0661611, 15.4470519,0,14,19,25,33
47.0598947, 15.4519849,0,13,17,23,30
47.0663779, 15.4463752,0,17,22,30,40
47.0669327, 15.4463157,0,17,23,31,41
47.0640076, 15.44992,0,18,24,33,43
47.0687117, 15.4525639,0,17,22,30,39
47.0688669, 15.4528574,0,13,18,24,31
47.0702116, 15.4554015,1,12,16,21,28
47.0646845, 15.3922582,0,16,22,30,39
47.0684707, 15.3921464,0,15,21,28,37
47.070088, 15.4097006,0,10,14,18,24
47.0634051, 15.3922977,0,15,21,28,37
47.065113, 15.3922478,0,17,22,30,39
47.0793681, 15.3997239,0,15,20,26,35
47.0729617, 15.4048276,0,14,19,25,33
47.0729741, 15.4044927,1,12,17,23,30
47.0728809, 15.4014961,1,11,15,20,26
47.0713324, 15.4146534,0,17,22,30,39
47.0630597, 15.3923091,0,14,18,25,33
47.0833078, 15.4599841,0,14,19,25,33
47.0721744, 15.4509394,0,19,25,34,45
47.1070598, 15.4891109,0,16,22,29,38
47.0726065, 15.4363884,0,15,21,28,37
47.0803077, 15.4329229,0,15,20,27,35
47.0632786, 15.4431216,0,18,25,33,43
47.0592921, 15.4452634,0,19,25,34,45
47.0473274, 15.4542862,0,17,23,30,40
47.0482322, 15.4557171,0,16,21,29,38
47.0824322, 15.4330674,0,9,13,17,22
