LAT, LON, Pop 
47.02199196,15.39977382,34
47.0228895,15.3998663,23
47.02192643,15.40108532,244
47.02378705,15.39995878,7
47.02468459,15.40005126,40
47.02372152,15.40127031,26
47.02461907,15.40136282,12
47.02186089,15.4023968,13
47.02275844,15.40248932,19
47.02179534,15.40370829,76
47.02269288,15.40380083,22
47.02365598,15.40258185,19
47.02359042,15.40389338,21
47.01724206,15.40455701,9
47.0181396,15.40464955,14
47.01807402,15.40596094,64
47.01903714,15.4047421,87
47.01993469,15.40483465,21
47.02083223,15.40492721,18
47.01897156,15.40605351,7
47.0198691,15.40614609,12
47.02076664,15.40623867,308
47.01711088,15.40717974,35
47.01800842,15.40727233,152
47.01890597,15.40736492,15
47.01973789,15.40876895,39
47.02063543,15.40886157,2
47.02172977,15.40501977,81
47.02166418,15.40633125,11
47.0243568,15.40660902,22
47.02339366,15.40782795,17
47.0242912,15.40792057,173
47.02332804,15.40913947,37
47.02558214,15.40014375,16
47.02551661,15.40145533,11
47.02641415,15.40154784,77
47.02731169,15.40164036,12
47.02820923,15.40173288,12
47.02545107,15.40276691,16
47.02634861,15.40285944,3
47.02538551,15.40407848,34
47.02628305,15.40417104,29
47.02724615,15.40295198,6
47.02814369,15.40304453,12
47.02718059,15.4042636,18
47.02807812,15.40435617,5
47.02910678,15.40182541,15
47.03276247,15.4008838,17
47.0317994,15.40210301,29
47.03269693,15.40219556,22
47.02904123,15.40313708,44
47.02897566,15.40444874,182
47.02525434,15.40670162,199
47.02801255,15.40566781,89
47.02704941,15.40688683,33
47.02794695,15.40697944,146
47.02518873,15.40801319,136
47.02608627,15.40810581,26
47.02512311,15.40932475,9
47.02602065,15.4094174,14
47.0269838,15.40819844,18
47.02788134,15.40829108,47
47.02691818,15.40951005,145
47.02781571,15.4096027,54
47.02891008,15.4057604,9
47.02980762,15.405853,23
47.02884449,15.40707206,1
47.02974202,15.40716468,31
47.03070515,15.4059456,178
47.03063956,15.4072573,7
47.03153709,15.40734993,49
47.03243462,15.40744256,4
47.02877887,15.40838371,25
47.02967641,15.40847635,41
47.02871325,15.40969536,5
47.02961078,15.40978803,66
47.03057394,15.408569,113
47.03147147,15.40866165,32
47.03050831,15.4098807,11
47.03140584,15.40997337,78
47.03230337,15.41006604,11
47.01864341,15.41261053,24
47.01954095,15.41270322,18
47.02043848,15.41279591,3
47.0176802,15.41382922,2
47.01761451,15.41514059,20
47.01857774,15.41392193,48
47.01947527,15.41401464,25
47.0203728,15.41410735,22
47.01851204,15.41523332,6
47.01940958,15.41532605,6
47.02030711,15.41541878,4
47.02140168,15.41157714,27
47.02133602,15.4128886,9
47.02223355,15.4129813,28
47.02127034,15.41420006,260
47.0175488,15.41645196,5
47.01844634,15.41654471,25
47.0202414,15.41673022,2
47.01838061,15.41785609,22
47.02017567,15.41804165,142
47.02004417,15.4206645,116
47.0210732,15.41813443,15
47.02100745,15.41944588,16
47.02094169,15.42075733,18
47.02505747,15.41063631,28
47.02595501,15.41072898,5
47.02492615,15.41325942,13
47.02685254,15.41082165,4
47.02775007,15.41091433,276
47.02575799,15.41466371,117
47.02569229,15.41597528,79
47.02658981,15.41606804,17
47.02748734,15.41616081,121
47.0286476,15.41100701,132
47.02954513,15.4110997,11
47.02947947,15.41241137,19
47.0294138,15.41372303,1
47.03044266,15.41119239,198
47.03134019,15.41128508,54
47.030377,15.41250408,5
47.03127453,15.4125968,3
47.03223772,15.41137778,16
47.03031132,15.41381577,133
47.03120885,15.4139085,12
47.0293481,15.41503469,6
47.02838487,15.41625358,56
47.02928239,15.41634635,38
47.03024563,15.41512745,166
47.03114316,15.41522021,242
47.03017992,15.41643913,42
47.03107744,15.41653191,2
47.02562657,15.41728684,179
47.02556083,15.41859841,1
47.02652409,15.41737963,14
47.02742162,15.41747242,2
47.02645836,15.41869121,19
47.02735588,15.41878403,23
47.02549508,15.41990997,63
47.02453179,15.42112868,12
47.02542931,15.42122153,108
47.0263926,15.4200028,6
47.02729013,15.42009563,15
47.02632684,15.42131438,23
47.02722436,15.42140723,22
47.02831914,15.41756521,14
47.02921667,15.41765801,14
47.02825341,15.41887684,37
47.02915093,15.41896966,21
47.03011419,15.41775081,264
47.03101172,15.41784361,88
47.03190924,15.41793642,94
47.03004845,15.41906248,122
47.03094597,15.41915531,19
47.02818765,15.42018847,7
