LAT, LON, Pop 
48.22677475,16.2082176,64
48.22580306,16.20944882,100
48.22991626,16.20049894,12
48.22894465,16.20173039,17
48.22984076,16.20184052,33
48.23081236,16.20060905,3
48.22886914,16.20307193,9
48.22879362,16.20441347,46
48.22871808,16.20575501,13
48.24291446,16.19398944,1
48.24381057,16.19409947,387
48.24283904,16.19533136,243
48.24373515,16.19544142,7
48.24463126,16.19555149,154
48.24552736,16.19566156,309
48.24642347,16.19577163,92
48.24814023,16.19733386,25
48.24911178,16.19610189,167
48.24903634,16.19744397,28
48.24993244,16.19755409,132
48.24896088,16.19878605,194
48.23700959,16.20272172,56
48.24133901,16.20595637,24
48.24126345,16.20729824,210
48.24454538,16.21310715,21
48.23909321,16.21378676,354
48.24446973,16.21444909,12
48.24626189,16.2146699,38
48.24618622,16.21601189,5
48.24611054,16.21735387,296
48.24715798,16.21478032,336
48.2470823,16.21612233,324
48.24797839,16.21623277,14
48.24700662,16.21746433,9
48.2479027,16.2175748,1
48.24693091,16.21880634,29
48.24782699,16.21891683,48
48.24872307,16.21902732,130
48.24961914,16.21913782,96
48.24685519,16.22014834,407
48.24775127,16.22025885,53
48.2471449,16.2309949,35
48.12489697,16.22267888,223
48.1257931,16.22278903,7
48.12571736,16.22412783,158
48.12661348,16.22423801,285
48.12653772,16.22557683,121
48.12743385,16.22568704,314
48.12735807,16.22702588,22
48.12832997,16.22579725,6
48.12728227,16.22836472,101
48.12817839,16.22847497,25
48.12810258,16.22981383,260
48.12966727,16.2340511,269
48.13721536,16.22823874,345
48.13713955,16.22957783,88
48.13706372,16.23091692,364
48.13698788,16.23225601,290
48.13795983,16.23102726,26
48.13788399,16.23236637,40
48.13691202,16.23359509,85
48.13683614,16.23493417,6
48.13780813,16.23370548,66
48.13870423,16.23381586,1
48.13773225,16.23504458,17
48.13862836,16.23515499,280
48.1304116,16.23683929,7
48.13033569,16.23817819,44
48.13115586,16.23962756,45
48.13107992,16.24096648,43
48.13100395,16.2423054,55
48.13765636,16.23638368,16
48.13758045,16.23772278,27
48.13847655,16.23783323,4
48.13750452,16.23906187,13
48.13840062,16.23917235,92
48.13742858,16.24040096,5
48.13832468,16.24051146,2
48.13190005,16.24241592,62
48.13443636,16.24542551,14
48.13638055,16.24296858,94
48.13735262,16.24174004,165
48.13824872,16.24185057,8
48.13727664,16.24307912,371
48.13630456,16.24430763,6
48.13533246,16.24553609,772
48.13622855,16.24564668,2
48.13720065,16.2444182,35
48.13809675,16.24452878,424
48.13712464,16.24575728,84
48.13802074,16.24586788,99
48.14408087,16.2344783,8
48.14886481,16.22967289,112
48.15073284,16.22855415,143
48.14789287,16.23090191,161
48.13922078,16.24062197,4
48.14011688,16.24073249,189
48.14093701,16.24218219,41
48.13906884,16.24330023,15
48.13996493,16.2434108,283
48.14175712,16.24363193,24
48.13899284,16.24463936,19
48.13039565,16.25301661,26
48.13031954,16.25435549,20
48.13024342,16.25569438,11
48.13016727,16.25703325,276
48.13167206,16.24643272,11
48.13159603,16.24777164,119
48.13151998,16.24911057,19
48.13436034,16.24676451,142
48.13525643,16.24687512,207
48.13607649,16.24832477,86
48.13510434,16.24955315,1
48.13600043,16.24966381,27
48.13697258,16.24843541,323
48.13794471,16.24720697,16
48.13786867,16.24854606,28
48.13689652,16.24977448,40
48.13779261,16.24988515,2
48.13502828,16.25089217,4
48.13592436,16.25100285,2
48.13495219,16.25223118,38
48.13584828,16.25234188,188
48.13682045,16.25111354,12
48.13771654,16.25122423,142
48.13674436,16.25245259,108
48.13764045,16.25256331,26
48.13398,16.25345946,29
48.13390388,16.25479844,11
48.13106336,16.25714403,16
48.13382775,16.25613741,107
48.13285552,16.25736559,46
48.1337516,16.25747638,265
48.13487609,16.25357018,22
48.13577217,16.25368091,73
48.13479997,16.25490918,300
