lAT, LON, type, SPs (30), SPs (60), SPs (100), SPs (150)
48.3176559, 14.305021,0,18,25,33,44
48.2744678, 14.2804409,3,11,15,20,27
48.2410274, 14.3346348,0,15,20,27,36
48.2535609, 14.2827588,3,14,19,26,34
48.2646962, 14.3038784,1,12,16,21,28
48.216129, 14.3215755,1,16,21,28,38
48.2527238, 14.354911,1,14,19,25,33
48.3041815, 14.2828246,0,16,22,30,39
48.335941, 14.3348433,2,17,22,30,39
48.3472425, 14.2929392,0,20,27,36,47
48.3348502, 14.3200257,0,18,24,32,42
48.2703796, 14.311365,3,14,18,25,32
48.3330373, 14.2896543,0,14,19,25,33
48.3109356, 14.281692,0,17,23,31,41
48.2188251, 14.3223497,3,16,22,29,38
48.3026792, 14.2821312,3,16,22,29,38
48.2830315, 14.2762049,2,10,14,19,25
48.2758446, 14.2833868,0,14,19,26,34
48.274869, 14.2922574,0,13,17,23,30
48.27552, 14.2896252,0,15,20,27,36
48.2756614, 14.290003,0,14,19,26,34
48.2878239, 14.2712506,0,17,23,30,40
48.276429, 14.2780346,0,15,21,28,36
48.3151579, 14.3009528,1,16,22,30,39
48.289748, 14.2979667,0,13,18,24,32
48.287683, 14.2997879,0,12,16,22,29
48.2873598, 14.3003033,0,13,18,24,32
48.2797965, 14.305545,1,14,19,26,34
48.2733805, 14.3140054,0,15,21,28,37
48.2425601, 14.3617916,3,20,27,36,48
48.2909363, 14.2776463,0,14,19,26,34
48.2532322, 14.3103902,0,12,16,22,29
48.2859602, 14.3024931,0,14,18,25,32
48.2829765, 14.2884504,1,13,18,24,32
48.2962264, 14.3083899,0,16,21,28,37
48.2443169, 14.276817,3,11,14,19,26
48.309933, 14.2814468,2,15,20,26,35
48.2952726, 14.3143016,0,15,20,27,35
48.3016482, 14.3000525,0,15,20,27,36
48.3032134, 14.3001652,0,13,18,24,31
48.2998264, 14.2912934,0,14,19,25,33
48.2651661, 14.282081,3,11,15,20,26
48.2491687, 14.3084352,3,13,18,24,32
48.2432301, 14.3372739,0,13,18,24,31
48.3031067, 14.2858763,0,16,21,28,37
48.2521364, 14.2869063,0,12,16,21,28
48.299424, 14.3029508,0,16,22,30,39
48.2697386, 14.2886303,0,18,24,33,43
48.2714007, 14.292377,0,9,13,17,22
48.2847326, 14.3037719,0,16,21,28,37
48.3054758, 14.2865503,0,16,22,29,38
48.2871757, 14.3000512,0,13,17,23,31
48.2657071, 14.2812207,0,14,18,24,32
48.2510158, 14.2924887,3,14,19,26,34
48.2690217, 14.2918718,0,14,19,25,33
48.3055626, 14.2888411,2,14,18,25,33
48.27104, 14.2824444,0,10,14,19,25
48.3321979, 14.3123085,0,17,23,31,41
48.3147726, 14.2825692,0,17,23,31,41
48.2992801, 14.2915353,0,12,17,23,30
48.2559501, 14.3165714,0,11,15,20,26
48.3323702, 14.2893751,0,16,21,28,38
48.2793186, 14.2804128,0,13,18,24,31
48.2714372, 14.2923748,0,15,20,27,35
48.2806799, 14.2813709,0,14,18,25,33
48.2429, 14.3793099,2,16,22,29,39
48.2520216, 14.3471154,0,16,22,29,39
48.2519225, 14.347097,0,13,17,23,30
48.3334439, 14.3193364,0,11,15,20,26
48.2912039, 14.288293,2,11,14,19,25
48.3156558, 14.2810512,3,16,22,29,38
48.3147064, 14.2832382,0,12,16,21,28
48.3113309, 14.2832929,0,13,18,24,32
48.3139607, 14.2862564,0,13,18,24,31
48.3303871, 14.2878437,0,14,19,26,34
48.3325506, 14.2893984,3,10,13,18,23
48.333933, 14.2995358,0,15,20,27,36
48.3208927, 14.2890108,0,16,21,28,38
48.2978944, 14.284091,4,15,20,27,35
48.2971032, 14.2912343,0,14,18,25,33
48.31795, 14.2836535,0,15,20,27,35
48.2695392, 14.2878696,0,15,21,28,37
48.3143185, 14.283816,0,8,10,14,18
48.3016771, 14.2915146,0,19,26,35,46
48.3268624, 14.2852137,0,15,21,28,37
48.2878642, 14.300007,0,13,17,23,31
48.3003619, 14.2899373,3,14,18,24,32
48.3005084, 14.2953185,0,16,21,28,37
48.313488, 14.2817148,0,14,19,26,34
48.2965413, 14.2961356,0,9,13,17,23
48.2934539, 14.3135597,0,20,26,35,47
48.2874441, 14.3046788,0,14,19,26,34
48.249233, 14.3087368,0,17,23,31,40
48.2533856, 14.3095637,3,13,17,23,30
48.2532151, 14.311776,0,18,25,33,43
48.2952943, 14.2938555,0,15,20,27,36
48.242986, 14.3371591,0,16,22,29,38
48.2965192, 14.2916946,0,12,16,22,28
48.3021701, 14.2997645,0,18,24,32,42
48.2659947, 14.2878625,3,16,22,29,39
48.2711425, 14.2984018,0,18,24,32,42
48.2580213, 14.3599646,3,13,17,23,31
48.3069113, 14.2943546,4,13,18,24,32
48.3108883, 14.2818492,0,20,27,36,48
48.2409483, 14.3341005,0,12,16,21,28
48.2946339, 14.2867167,3,14,19,26,34
48.3078177, 14.2937398,0,17,23,31,41
48.2852632, 14.2956248,3,15,20,27,35
48.2408561, 14.3336804,0,16,21,29,38
48.2920463, 14.2960999,3,14,18,24,32
48.3029428, 14.2898289,0,15,21,28,37
48.2974826, 14.2917999,0,11,15,20,27
48.2960974, 14.2923353,0,19,25,34,44
48.2704992, 14.2928089,0,14,19,26,34
48.244872, 14.2829486,0,13,17,23,31
48.2536232, 14.2840174,0,16,22,29,38
48.2910215, 14.2770115,3,13,18,24,32
48.2652888, 14.3175464,1,11,15,20,27
48.2524838, 14.3125945,0,11,15,20,27
48.2655478, 14.282122,0,16,22,29,39
48.2405777, 14.3309465,0,14,19,25,34
48.2561122, 14.322333,0,14,19,26,34
48.273352, 14.3144345,0,17,23,31,41
48.2761534, 14.312644,0,12,16,21,28
48.3109998, 14.2829123,0,13,17,23,30
48.31318, 14.2872548,0,14,18,24,32
48.2808248, 14.3088288,1,15,20,27,35
48.2849175, 14.3027114,0,14,19,26,34
48.2960266, 14.292123,0,14,19,25,33
48.3267816, 14.2847952,0,14,19,26,34
48.3295978, 14.2877651,4,14,19,26,34
48.3323161, 14.2902,0,13,17,23,30
48.334061, 14.3004945,0,12,17,23,30
48.3347944, 14.3201527,0,15,20,27,36
48.287082, 14.3004676,2,12,17,22,29
48.2904109, 14.2972959,0,12,16,21,28
48.2585958, 14.3211432,2,14,18,25,33
48.2488702, 14.3083835,0,14,19,25,34
48.3140669, 14.2606659,0,20,27,36,48
48.3186576, 14.257726,0,13,17,23,30
48.3199544, 14.2566829,0,17,23,30,40
48.2576659, 14.3601379,0,16,22,29,39
48.2560929, 14.3567621,3,12,16,21,28
48.3125441, 14.2834887,0,16,22,30,39
48.3323363, 14.3179487,3,12,16,21,28
48.2406117, 14.3340455,3,8,11,14,19
48.2412255, 14.3280167,0,16,22,29,38
48.2437732, 14.3287564,0,10,14,18,24
48.246453, 14.3268022,0,16,21,28,37
48.2539978, 14.3175714,3,13,17,23,31
48.2530563, 14.3144747,0,19,25,34,44
48.2615924, 14.319706,0,17,23,31,41
48.3119451, 14.2801889,0,13,18,24,32
48.2684619, 14.3164408,0,13,17,23,30
48.3341246, 14.2968775,4,11,15,21,27
48.3159545, 14.2899662,0,13,18,24,32
48.3199919, 14.2894649,0,14,19,25,33
48.3224104, 14.2854758,0,14,18,25,32
48.3318105, 14.3126636,3,15,20,27,35
48.3247086, 14.2591399,2,16,21,29,38
48.3171643, 14.2572451,2,15,21,28,37
48.3110325, 14.2651927,2,13,17,23,30
48.3106491, 14.2677261,3,11,15,20,26
48.3104603, 14.2731275,0,18,24,32,42
48.3107706, 14.2764087,3,13,17,23,30
48.3061723, 14.2863368,3,13,17,23,31
48.3106578, 14.2830853,0,13,18,24,31
48.3130121, 14.2868467,4,10,13,18,24
48.3156957, 14.2896573,2,13,18,24,32
48.3197844, 14.2898137,3,13,18,24,32
48.3225749, 14.2852092,0,16,22,29,38
48.327125, 14.2850065,0,16,22,29,39
48.3297979, 14.2878934,0,15,20,26,35
48.3324901, 14.2902988,0,17,23,30,40
48.3340806, 14.296355,0,15,21,28,36
48.3326422, 14.3090299,2,14,19,26,34
48.3320916, 14.3178244,0,15,20,27,35
48.2846214, 14.3031355,3,14,19,25,33
48.2901021, 14.2975661,0,14,18,24,32
48.2867633, 14.3007106,0,14,19,25,33
48.2759157, 14.3128886,0,12,16,21,28
48.2730998, 14.3143136,0,15,20,27,36
48.2687194, 14.3162859,2,12,16,22,29
48.2650704, 14.3180112,0,17,22,30,39
48.261258, 14.3198247,2,14,19,25,33
48.2556995, 14.3224876,0,15,20,26,35
48.2540902, 14.3177799,0,16,21,28,37
48.2528398, 14.3140521,0,16,22,29,38
48.2508842, 14.311565,0,11,14,19,25
48.2461983, 14.3270603,0,14,19,25,33
48.2434733, 14.3286343,0,17,22,30,40
48.241073, 14.3284947,4,10,14,19,25
48.2404945, 14.331463,0,15,21,28,37
48.2406731, 14.3345873,0,9,12,16,21
48.2483486, 14.3400932,3,12,16,22,29
48.2522937, 14.3477071,0,15,20,26,35
48.3110432, 14.2775865,0,10,14,19,25
48.3110873, 14.277559,0,12,16,22,29
48.303983, 14.2882259,2,11,15,20,26
48.3037983, 14.2883713,0,19,25,33,44
48.3007131, 14.2907421,0,15,20,27,35
48.30114, 14.2904448,0,16,21,29,38
48.2983037, 14.2914847,0,14,19,25,33
48.3125049, 14.2821732,0,14,18,25,32
48.3120176, 14.2804737,3,10,14,19,25
48.3125278, 14.2818312,0,14,19,25,33
48.2428495, 14.3375978,2,13,17,23,30
48.243174, 14.3378267,0,17,22,30,40
48.2490442, 14.3089792,0,17,23,31,41
48.2957529, 14.2923263,0,18,24,33,43
48.2979342, 14.2915177,0,17,22,30,39
48.3181766, 14.2913231,0,13,18,24,31
48.3123635, 14.2842274,0,12,16,21,28
48.30799994, 14.24652939,1,16,22,30,39
48.30299182, 14.25960674,2,15,21,28,37
48.30694667, 14.2504907,2,10,14,18,24
48.30589325, 14.25445186,2,15,21,28,37
48.3066357, 14.2585645,3,17,22,30,39
48.3219016, 14.25985408,2,15,20,26,35
48.3273933, 14.25761711,2,14,19,25,33
48.33108897, 14.25522803,1,12,17,23,30
48.33542331, 14.25964638,1,11,15,20,26
48.33822103, 14.25718121,1,17,22,30,39
48.33980939, 14.26271901,1,14,18,25,33
48.24689999, 14.26566365,1,14,19,25,33
48.24494802, 14.26954396,1,19,25,34,45
48.24753802, 14.27245971,1,16,22,29,38
48.24104368, 14.27730371,1,15,21,28,37
48.24827984, 14.27656785,2,15,20,27,35
48.23117576, 14.29938513,1,18,25,33,43
48.23824543, 14.27976329,1,19,25,34,45
48.23978061, 14.28663455,1,17,23,30,40
48.24178533, 14.28141139,3,16,21,29,38
48.2472255, 14.28052393,3,9,13,17,22
48.24427062, 14.28701546,2,15,20,27,35
48.24686015, 14.28993207,1,14,19,26,34
48.24316363, 14.29231493,2,15,20,27,35
48.24760132, 14.29404041,3,17,23,30,40
48.24739199, 14.2994165,2,8,10,14,19
48.24459326, 14.30187515,1,13,18,24,31
48.25187186, 14.27687193,1,15,20,27,36
48.25641397, 14.27590783,2,13,18,24,32
48.25926416, 14.27210286,2,11,15,20,26
48.2626479, 14.27778451,2,17,22,30,40
48.265394, 14.27666821,1,15,20,27,36
48.26803589, 14.27824098,3,12,16,22,29
48.27083408, 14.27577995,3,15,21,28,36
48.25504659, 14.28792998,3,17,22,30,39
48.25800152, 14.28143716,2,15,20,26,35
48.26154135, 14.28308608,2,17,22,30,39
48.26133254, 14.28846369,2,15,20,27,35
48.25399184, 14.29188636,4,14,18,24,32
48.25198663, 14.29711035,2,12,16,21,28
48.25473293, 14.29599532,2,14,19,26,34
48.25093156, 14.30106631,1,15,20,27,36
48.25547387, 14.3001044,1,17,22,30,40
48.25747922, 14.29488017,1,14,19,26,34
48.26112348, 14.29384125,1,16,21,28,37
48.25822019, 14.29898945,1,12,16,22,29
48.26271011, 14.29937167,2,13,17,23,30
48.26165496, 14.30332841,1,14,19,26,34
48.27316308, 14.28542117,2,12,16,21,28
48.27944899, 14.28595486,3,17,22,30,39
48.27839432, 14.28991316,3,16,21,28,37
48.26566571, 14.29287854,2,15,20,27,36
48.26630204, 14.29967751,2,15,21,28,36
48.27443622, 14.29902111,4,20,26,35,46
48.27723486, 14.29656093,2,13,18,24,32
48.2724831, 14.30290222,3,9,12,16,22
48.27702538, 14.30194016,4,15,20,27,36
48.23091374, 14.30610303,2,14,19,26,34
48.22943789, 14.32080544,1,13,18,24,31
48.23355526, 14.30767619,2,12,16,22,29
48.23514124, 14.313204,1,13,18,24,32
48.24533399, 14.30598349,3,15,20,27,36
48.24512407, 14.31135929,3,13,18,24,32
48.23677953, 14.31738844,1,21,28,37,49
48.23218444, 14.31969213,1,12,16,22,29
48.23482575, 14.32126603,1,13,17,23,30
48.24676242, 14.31554452,3,9,12,16,21
48.22209613, 14.32422149,2,15,20,27,36
48.22362855, 14.33109193,1,9,13,17,23
48.23271374, 14.32917415,1,13,18,24,31
48.23567169, 14.34560601,1,14,19,25,33
48.24301405, 14.34219222,3,13,17,23,30
48.23841847, 14.34449391,2,19,25,34,45
48.2481328, 14.30352503,3,17,23,31,40
48.25167231, 14.30517515,2,18,24,32,42
48.25441869, 14.30406056,2,12,17,22,29
48.2560573, 14.30824633,1,17,23,31,41
48.25970168, 14.3072084,1,16,21,28,37
48.25679778, 14.3123557,2,16,22,30,39
48.25938661, 14.31527437,2,17,23,31,41
48.25035432, 14.31585136,2,12,16,22,29
48.24750264, 14.31965324,2,13,18,24,32
48.25109452, 14.31996038,3,17,22,30,40
48.2482427, 14.32376209,2,8,11,14,19
48.26693795, 14.30647666,2,18,25,33,43
