LAT, LON, Pop 
48.2472255,14.28052393,63
48.24817563,14.27925596,105
48.2481235,14.28060001,27
48.24807136,14.28194407,37
48.24532519,14.28305973,186
48.24622319,14.28313586,91
48.24527301,14.28440371,36
48.24617102,14.28447985,63
48.2480192,14.28328811,3
48.24706902,14.28455601,115
48.24796702,14.28463216,89
48.24342482,14.28559535,3
48.24432282,14.28567151,72
48.24247462,14.28686308,17
48.24427062,14.28701546,26
48.24062639,14.28805457,6
48.2415244,14.28813077,37
48.24147216,14.28947464,86
48.24421839,14.2883594,28
48.24522082,14.28574768,103
48.24611882,14.28582385,29
48.24606662,14.28716784,174
48.24701683,14.28590002,29
48.24791482,14.2859762,254
48.24786261,14.28732024,1
48.24601439,14.28851183,3
48.24596215,14.28985582,35
48.24686015,14.28993207,13
48.24775815,14.29000832,33
48.24316363,14.29231493,159
48.24216105,14.29492642,89
48.24590989,14.29119981,1
48.24680789,14.29127608,35
48.24770589,14.29135235,38
48.24675562,14.29262009,216
48.24765361,14.29269638,87
48.24670332,14.29396409,19
48.24760132,14.29404041,53
48.24659869,14.29665209,21
48.24754901,14.29538444,2
48.24739199,14.2994165,2
48.24459326,14.30187515,8
48.24549125,14.3019516,20
48.24733961,14.30076051,35
48.24638924,14.30202806,88
48.24728722,14.30210453,195
48.24943809,14.26992341,58
48.24938607,14.27126751,126
48.24928199,14.27395569,32
48.24917785,14.27664386,70
48.25007585,14.27671988,12
48.24912575,14.27798794,59
48.25002375,14.27806399,129
48.25187186,14.27687193,104
48.25092176,14.27814003,57
48.25641397,14.27590783,21
48.25546388,14.27717607,117
48.25636189,14.27725211,37
48.25541178,14.27852031,6
48.25630978,14.27859638,46
48.25831412,14.27337123,25
48.25926416,14.27210286,2
48.25921212,14.27344721,17
48.25736405,14.27463956,30
48.25826206,14.27471556,127
48.25731198,14.27598386,52
48.25820998,14.27605988,120
48.25916006,14.27479156,18
48.25910799,14.27613591,242
48.2626479,14.27778451,177
48.2635459,14.27786058,2
48.26259578,14.27912894,63
48.26349378,14.27920504,23
48.265394,14.27666821,2
48.266292,14.27674427,15
48.26718999,14.27682033,100
48.26808799,14.2768964,148
48.2644439,14.27793665,7
48.2653419,14.27801273,3
48.26623989,14.27808881,2
48.26439178,14.27928114,63
48.26528978,14.27935724,161
48.26618778,14.27943334,10
48.26713789,14.27816489,114
48.26803589,14.27824098,90
48.26708577,14.27950945,89
48.26798377,14.27958556,30
48.26898599,14.27697246,120
48.26988399,14.27704853,4
48.27083408,14.27577995,66
48.27173208,14.275856,10
48.27078199,14.27712461,5
48.27167998,14.27720069,168
48.26893389,14.27831707,61
48.26983188,14.27839317,42
48.26888177,14.27966168,4
48.26977976,14.27973779,102
48.27072988,14.27846926,2
48.27162788,14.27854536,21
48.27067776,14.27981392,60
48.27157575,14.27989004,38
48.27263007,14.27593206,14
48.27352807,14.27600812,177
48.27257798,14.27727677,234
48.27347598,14.27735285,83
48.27442607,14.27608419,5
48.27532406,14.27616025,36
48.27437397,14.27742894,151
48.27527197,14.27750503,14
48.27252587,14.27862147,69
48.27342387,14.27869758,32
48.27247375,14.27996617,24
48.27337174,14.2800423,131
48.27432186,14.27877369,8
48.27521986,14.2788498,81
48.27426974,14.28011844,12
48.27516773,14.28019458,21
48.27622206,14.27623632,14
48.27712006,14.2763124,4
48.27616996,14.27758112,62
48.27706796,14.27765722,2
48.27796595,14.27773332,9
48.27611785,14.27892592,11
48.27701584,14.27900204,64
48.27791384,14.27907817,230
48.27606572,14.28027072,8
48.27696371,14.28034686,130
48.27786171,14.28042301,77
48.27881183,14.2791543,36
48.2787597,14.28049917,162
48.27965769,14.28057532,6
48.24907364,14.27933202,26
48.24902151,14.2806761,149
48.24997164,14.27940809,37
48.24991951,14.28075219,15
48.24896936,14.28202018,23
48.24986736,14.28209629,9
48.25171551,14.28090438,153
48.25076536,14.28217241,186
48.25166337,14.28224853,21
48.2489172,14.28336425,47
48.2498152,14.28344039,180
48.24886502,14.28470832,43
48.24976302,14.28478448,191
48.2507132,14.28351653,2
48.2516112,14.28359267,36
48.25066102,14.28486064,101
48.25155902,14.28493681,13
48.25266565,14.27963631,108
48.25261352,14.28098048,5
48.25351152,14.28105659,228
48.25256137,14.28232465,15
48.25345937,14.28240078,3
48.25446166,14.27978847,131
48.25530752,14.2812088,93
48.25615337,14.28262918,164
48.2525092,14.28366882,45
48.2534072,14.28374497,229
48.25245702,14.28501298,14
48.25335502,14.28508916,74
48.2552032,14.28389728,1
48.25610119,14.28397345,68
48.25425301,14.28516534,21
48.24881282,14.28605239,12
48.24971082,14.28612857,103
48.24876061,14.28739645,45
48.24965861,14.28747266,33
48.25060882,14.28620476,4
48.25150682,14.28628095,125
48.25055661,14.28754887,54
48.25145461,14.28762509,8
48.24870839,14.28874051,64
48.24960638,14.28881674,39
48.24865614,14.29008457,31
48.24955414,14.29016083,1
48.25050438,14.28889298,2
48.25140237,14.28896922,71
48.25045213,14.29023709,62
48.25135013,14.29031335,101
48.25240482,14.28635715,55
48.25330281,14.28643335,16
48.2523526,14.28770131,49
48.2532506,14.28777753,221
48.25420081,14.28650955,120
48.25509881,14.28658575,36
48.25414859,14.28785376,14
48.25504659,14.28792998,30
48.25594458,14.28800622,53
48.25230037,14.28904546,73
48.25319837,14.28912171,194
48.25224812,14.29038962,106
48.25314612,14.29046589,31
48.25409636,14.28919796,22
48.25499435,14.28927421,107
48.25589235,14.28935047,196
48.25404411,14.29054216,146
48.2549421,14.29061844,161
48.2558401,14.29069472,105
48.25800152,14.28143716,4
48.25705136,14.28270533,18
48.25794936,14.28278147,19
48.25884736,14.28285762,1
48.25699919,14.28404961,21
48.25789719,14.28412578,17
48.256947,14.28539389,5
48.257845,14.28547009,2
48.25879519,14.28420195,109
48.26154135,14.28308608,32
48.26254365,14.28047338,20
48.26249151,14.28181781,55
48.26344165,14.2805495,123
48.26338951,14.28189396,52
48.26243935,14.28316225,65
48.26333734,14.28323841,88
48.26238717,14.28450667,72
48.26328516,14.28458286,144
48.26233497,14.2858511,13
48.26323297,14.28592731,14
48.25684258,14.28808245,8
48.25774057,14.28815869,185
48.25863857,14.28823494,124
48.25953656,14.28831118,12
48.25679034,14.28942673,45
48.25768833,14.28950299,36
48.25673809,14.290771,128
48.25763608,14.29084729,4
48.25858633,14.28957926,14
48.25948432,14.28965553,91
48.25853407,14.29092358,123
48.26138477,14.28711929,51
48.26043455,14.28838743,92
48.26133254,14.28846369,24
48.26228276,14.28719552,12
48.26318076,14.28727176,58
48.26223054,14.28853995,29
48.26312853,14.28861621,55
